entry,version,revision,published_at,body,url,assets_url,upload_url,html_url,id,node_id,tag_name,target_commitish,name,draft,prerelease,created_at,assets,tarball_url,zipball_url,author.login,author.id,author.node_id,author.avatar_url,author.gravatar_id,author.url,author.html_url,author.followers_url,author.following_url,author.gists_url,author.starred_url,author.subscriptions_url,author.organizations_url,author.repos_url,author.events_url,author.received_events_url,author.type,author.site_admin,reactions.url,reactions.total_count,reactions.+1,reactions.-1,reactions.laugh,reactions.hooray,reactions.confused,reactions.heart,reactions.rocket,reactions.eyes,mentions_count,asset_1_url,asset_1_id,asset_1_node_id,asset_1_name,asset_1_label,asset_1_uploader,asset_1_content_type,asset_1_state,asset_1_size,asset_1_download_count,asset_1_created_at,asset_1_updated_at,asset_1_browser_download_url,asset_2_url,asset_2_id,asset_2_node_id,asset_2_name,asset_2_label,asset_2_uploader,asset_2_content_type,asset_2_state,asset_2_size,asset_2_download_count,asset_2_created_at,asset_2_updated_at,asset_2_browser_download_url,asset_3_url,asset_3_id,asset_3_node_id,asset_3_name,asset_3_label,asset_3_uploader,asset_3_content_type,asset_3_state,asset_3_size,asset_3_download_count,asset_3_created_at,asset_3_updated_at,asset_3_browser_download_url,asset_4_url,asset_4_id,asset_4_node_id,asset_4_name,asset_4_label,asset_4_uploader,asset_4_content_type,asset_4_state,asset_4_size,asset_4_download_count,asset_4_created_at,asset_4_updated_at,asset_4_browser_download_url,asset_5_url,asset_5_id,asset_5_node_id,asset_5_name,asset_5_label,asset_5_uploader,asset_5_content_type,asset_5_state,asset_5_size,asset_5_download_count,asset_5_created_at,asset_5_updated_at,asset_5_browser_download_url,asset_6_url,asset_6_id,asset_6_node_id,asset_6_name,asset_6_label,asset_6_uploader,asset_6_content_type,asset_6_state,asset_6_size,asset_6_download_count,asset_6_created_at,asset_6_updated_at,asset_6_browser_download_url,asset_7_url,asset_7_id,asset_7_node_id,asset_7_name,asset_7_label,asset_7_uploader,asset_7_content_type,asset_7_state,asset_7_size,asset_7_download_count,asset_7_created_at,asset_7_updated_at,asset_7_browser_download_url,asset_8_url,asset_8_id,asset_8_node_id,asset_8_name,asset_8_label,asset_8_uploader,asset_8_content_type,asset_8_state,asset_8_size,asset_8_download_count,asset_8_created_at,asset_8_updated_at,asset_8_browser_download_url
"ABOUT REV 0043 - ""ALPHA"" - 2 august 2002",,43,,"- this is the official ""alpha"" release. released for all platforms
  with a completed readme.txt


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0044 - 2 september 2002,,44,2002-09-02 00:00:00-04:00,"[ features ] 

- can now use an external program to edit, such as bbedit on the pc or
  emacs on unix. select 'use exteral editor' and the textarea will
  become un-editable. you can then edit with your favorite text
  editor, and the code will be updated in the window each time you hit
  the 'run' button.

- added ability to set foreground and background colors of the
  editor. editor.program.fgcolor and editor.program.bgcolor can be set
  to your favorite color in pde.properties. also the the background
  color indicating 'external editor' is in use can be set via
  editor.program.bgcolor.external.

- more file i/o and data processing capabilities, see changes under
  api additions

- 'beautify' is now enabled, though it may eat all your code in the
  process. if it does, just go back to the previous version by using
  the history menu, and get to the proce55ing website and let us know
  the change of events.

[ api additions ]

- String[] loadStrings(String filename) 
  returns the lines of a file as entries in an array of strings

- byte[] loadBytes(String filename) 
  retrieves a file's contents and places them into a byte array for
  easy processing

- String[] splitStrings(String what) 
  String[] splitStrings(String what, char splitChar) 
  splits a String into several smaller strings wherever there's a
  space. ie. splitStrings(""quick brown fox"") becomes an array with
  elements ""quick"", ""brown"" and ""fox"". the 'splitChar' is optional,
  you can have the line broken up by tabs (if you use '\t') or any
  other character.

- int[] splitInts(String what)
  int[] splitInts(String what, char splitChar)
  same as above, but parses the line as integers

- float[] splitFloats(String what)
  float[] splitFloats(String what, char splitChar)
  you can imagine what this one does

[ api changes ]

- getStream is now loadStream

[ bug fixes ]

- arrow keys now work in a hokey way under macosx. this is better than
  not working at all, but still not great. it's also not really my bug
  fix, but a workaround for apple's bug.

- editor window can now be resized to one's content under osx

- sketch windows won't pop up offscreen anymore.. and if a sketch
  window is too large, it will simply center on-screen.

- names with underscores and other illegal characters weren't being
  restrained. this allowed / and : to be used when renaming/saving
  sketches, which caused the app to blow up.

- console window doesn't die as it approaches 1000 lines of text

- default font size for the editor under macosx is smaller


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0045 - 20 october 2002,,45,2002-10-20 00:00:00-04:00,"[ internal release only ]

- major tweak to fix some of the random freezing and crashing that
  occurred when hitting the 'run' button.

- changes to sketch menu: no more CVS and .cvsignore entries and
  sketches are only added if they have the correct structure

- shape mode TWO_CORNERS is now called CORNERS


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0046 - 20 november 2002,,46,2002-11-20 00:00:00-05:00,"[ major release, new features ]

- now uses a fancy, swing-based text area. things should behave 
  much better for most platforms, particularly on the mac. 

- undo/redo, cut/copy/paste/select all are all supported.

- added 'rename' function, because 'save as' leaves behind
  too many boogers sometimes. this is now the default when clicking
  on the sketch title, instead of 'save as'.

- better error messages for serial port--actul notification if
  the port is unavailable or not properly installed.

- javax.sound is imported by default, so when running inside the
  editor, it's possible to use these classes to play audio files 
  and control midi devices. doesn't work for exporting to applet.

- on windows, sun's xml classes are included as part of the imports,
  so at least from inside the editor, it's possible to use the built
  in xml support from jdk 1.4.

- support for 3D curves in the graphics api. this means new versions
  of curve(), bezier(), curveVertex() and bezierVertex().

- sketch tweaks: naming for sketches is no longer random, but uses the
  date. also, during a run, the window is now named after the current
  sketch.


[ bug fixes ]

- mouse: pmouseX and pmouseY behave more like people expect 
  (they're set at the end of loop() instead of whenever there is 
  new mouse movement)

- macosx: the status bar now resizes with the rest of the 
  window.. this was a workaround for some apple java weirdness.

- fixed more of the issues that cause the random freezes when
  hitting play

- textarea shouldn't spew so many exceptions anymore

- rectangles were drawn one pixel too large


[ a few of the known issues ]

- this release is not available for mac os 9. there were problems
  just before release, and there was no point in holding up the 
  more important platforms for another week.

- download size for windows is getting enormous. in the future will
  switch to having people download and install java 1.4 separately.

- mouse wheel only works on windows, because jdk 1.4 
  is required for mouse wheel, and osx is behind the times.

- it's possible to undo past where it's truly possible, so if you
  undo too many times, your program might disappear. just redo. 


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0047 - 5 january 2003,,47,2003-01-05 00:00:00-05:00,"[ happy new year ]

- hopefully january 2003 will be a good month for p5, as i have
  a short bit of time to work on it and there was a beautiful little
  ibook under the p5 xmas tree to help me with the mac releases. 
  i hope to get a few revisions out this month so i can get back 
  my 'real' work.

[ features ] 

- the text editor has once again been replaced. the new one is fancier
  and less buggy. most obvious thing to note is text coloring. 
  the editor is based on the jedit 'syntax' package. jedit is an
  amazing and feature heavy java-based text editor with an online
  community the size of an organized religion as compared to our
  little p5 cult. see http://www.jedit.org for worship times.

- sketchbook can now be more recursive (folders within folders) than
  it used to be. for those inclined to playing with fire (you're using
  alpha software, so this must be you) you can set the root of your
  sketchbook directory to something besides ""sketchbook"" inside the
  Proce55ing folder. details in the 'readme' doc.

[ bug fixes ]

- a strange crashing after a few weeks of use on the macosx has been
  fixed. it got upset as soon as a .DS_Store file made its way into
  the sketchbook directory. i'd get upset too since those little
  buggers get pooped all over the place as soon as a mac connects to
  anything, but instead some code was written to ignore them. i'm
  trying to learn to ignore them myself. thanks to fdb, brendanberg,
  jes and perhaps others who notified of this one. 

- the undo forever problem has (hopefully) been squashed. in 0046,
  one could undo until the text area went empty, or the previous
  project loaded. if one were to hit undo quickly enough, they might
  have noticed the clock on their wall moving backwards.


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0048 - 7 january 2003,,48,2003-01-07 00:00:00-05:00,"[ mac os ]

- this release includes a bit of tweaking to the fonts that are used by
  default so that they look nicer on the mac. also, anti-aliasing is
  turned *off* by default (thanks to franklin_mint for the tip), which 
  is a little more appropriate for coding. if you want to re-enable it, 
  check out pde.properties inside 'lib'.

- tried java 1.4 dp8 but it *does not work*, at least not very well,
  with processing. assertion failures or outright crashes. blech. 
  hopefully apple will get this cleaned up and finished soon, because
  it's already running fine under 1.4 on windows.

[ windows ] 

- the release is now split in two, using 'standard' and 'advanced'
  versions. the standard release includes a working java vm, and is
  all set up and ready to go. the advanced version is for people who
  already have java installed (and don't want to deal with the 20MB
  download), and know what they're doing enough that they can also
  install the serial port code by hand. instructions on installing the
  serial code are in the 'serial' folder inside the advanced release.

- wheel mouse works again

- increased the default memory allocation to 64 MB. 


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0049 - 26 january 2003,,49,2003-01-26 00:00:00-05:00,"a release of p5 to honor the national tv advertising holiday
known as the super bowl in the united states.


[ feature additions ] 

- lots of new examples (some may have issues, see 'known bugs' below)

- code with beauty and grace: new coloring for syntax and the editor,
  fancied up to work more like the p5 site itself. 

- loadImage and loadStream now support http:// URLs (thanks to glen
  for pointing out the omission

- framerate() is a function that always returns the current frame rate
  as a float. 

- framrate(float num) sets the framerate to a specific number. it can
  be used inside setup() or even inside loop(). framerate(0) ressets
  back to the maximum possible framerate.

- new math functions: ceil, floor, and round all work on floats.


[ bug fixes ] 

- attempt has been made to fix the disappearing caret bug. i haven't
  been able to reproduce this on my win2k machine, so i don't know if
  it's fixed.. you'll have to let me know.

- pmouseX and pmouseY are now colored like their siblings mouseX and
  mouseY (thanks benelek)

- pmouseX and pmouseY now get set the very first time mouseX and
  mouseY are set, which might help remove some ""if (firstTime)"" code
  in a couple of projects.

- fixing the print() weirdness uncovered a bug with long lines in the
  console. 


[ between bug and feature ] 

- nicer looking default html for exporting. that old stuff was
  embarrassing. we had hoped it would be too embarrassing for anyone
  to use, but we were wrong. so we've improved the default.

- print() now shows things on the console, even without a println().
  thanks to mike davis and others for pointing this out.

- delay() should no longer slurp up cpu time and make your machine
  flip out. also, it doesn't run on the first time through loop(),
  making things a little smoother. (thanks to glen murphy for the
  report)


[ known bugs ]

- some examples seem to be broken, this will be ironed out for 0050

- a couple tweaks with the syntax of 'color' statements are needed,
  this is related to the above


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0050 - 27 january 2003,,50,2003-01-27 00:00:00-05:00,"released a little sooner than hoped, to fix a single showstopper bug
first discovered by josh nimoy. two sets of quotes were left out of
the export-to-web code, which web pages that didn't work.


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0051 - 31 january 2003,,51,2003-01-31 00:00:00-05:00,"enables key presses in the editor when 'alt' or 'option' is pressed. 
there was a problem with the mac german keyboards, and probably
others, where folks couldn't type { and } (alt-8 and alt-9) and were
instead doing lots of copying and pasting. released because this was a
major bug for some, and it needed to happen before a workshop.


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0052 - 5 march 2003,,52,2003-03-05 00:00:00-05:00,"[ feature additions ] 

- alpha/transparency is partially working.. there are still problems
  (see 'known bugs' section below) but it's in there.

- smooth() and noSmooth() are partially implemented. they've got
  several bugs that we know about but might be fun to play with. we
  know of most of the bugs so we hope to get to them soon.

- fill color can be set for images. IMPORTANT: to get just the image,
  be sure to set the fill to white.

- images no longer cache by default IMPORTANT: if you *want* images to
  cache, you should use loadImage(""filename.jpg"", false). the second
  parameter is whether or not images should be 'forced' to load fresh.

- get the on-screen locations of an xyz point using:
  float sx = screenX(x, y, z); 
  float sy = screenY(x, y, z); 
  float sz = screenZ(x, y, z);

- get the object-space coordinates (how the object is affected by
  translate and rotate etc) using:
  float ox = objectX(x, y, z); 
  float oy = objectY(x, y, z); 
  float oz = objectZ(x, y, z);

- constrain() is now part of the api

- format numbers with nf().. syntax: nf(int num, int digits)
  to make '27' into '0027' -> String formatted = nf(27, 4);

- also for numbers with decimals.. nf(float num, int left, int right)
  to make 27.3 into '027.3000' -> String formatted = nf(27.3, 3, 4);
  or use zero if you don't care the number of digits:
  i.e. make 27.3 into ""27.3000"" -> String fmt = nf(27.3, 0, 4);

- camera functions now work. the following is the code for the
  perspective camera (sorry no more docs, you can check opengl
  references for more info until we get caught up)
  beginCamera();
  cameraMode(CUSTOM);
  perspective(fov, aspect, nearDist, farDist);
  lookat(eyeX, eyeY, eyeDist, eyeX, eyeY, 0, 0, 1, 0);
  endCamera();
  there's also ortho(left, right, bottom, top, near, far) to give you
  an orthographic projection.. frustum() is another useful function in
  this class. these work like their opengl equivalents, but without
  docs are for advanced users only.

- more matrix math.. applyMatrix() takes 16 floats which get
  multiplied by the current transformation matrix. resetMatrix()
  resets the transformation matrix to identity. 

- switched to jre 1.4.1_02 from 1.4.1_01


[ bug fixes ]

- some programs that used 'color' didn't work, now they do.

- fixed other broken examples.

- missing images should no longer lock up the environment. on windows,
  they used to throw an exception and lock everything up.

- color for 'use external editor' works with new scheme.

- numberFormat() had a bug where commas would show up. oops.


[ known bugs ]

- still can't figure out the 'caret disappearing' bug.

- alpha is a little weird (doesn't always work) on lines. it won't
  work on single pixel lines unless smooth() is turned on. 

- smooth() is still imperfect. you may find some jagged edges. text
  marches in a funny way (i.e. typography04). shapes don't always
  properly overlap.

- random freezes under windows, after running a few time. every 20th
  or every 100th time the app just freaks out. use ctrl-alt-del to
  kill the java runtime and restart your app. this will slowly be
  ironed out. 


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0053 - 4 april 2003,,53,2003-04-04 00:00:00-05:00,"[ major bug fixes ]

- finally found and fixed the 'disappearing caret' bug that some
  people were having on windows. text editor is much more usable.

- fixes to non-smoothed images, no longer makes a weird line in the
  center of some images, or leaves out a line of pixels at the end.

- lots of fixes to anti-aliasing, though it's still not anywhere near
  perfect. still suffers most of the problems mentioned below.


[ small tweaks ]

- color(r, g, b, a) now works, also color c = #RRGGBBAA (like web
  colors, but with alpha at the end)


[ known bugs ]

- alpha is a little weird (mostly doesn't work) on lines. it won't
  work on single pixel lines unless smooth() is turned on. 

- smooth() is still imperfect. you may find some jagged edges. text
  marches in a funny way (i.e. typography04). shapes don't always
  properly overlap (i.e. you can see triangles on spheres)

- images with smooth() enabled are coming out a little garbled

- concave polygons don't draw properly

- lots of other exciting things just waiting to be found out!


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0054 - 11 april 2003,,54,2003-04-11 00:00:00-04:00,"[ ok, so 53 was a bit of a dog ]

- fixed problem with web colors being broken

- turned off error message spew


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT REV 0055 - 27 may 2003,,55,2003-05-27 00:00:00-04:00,"WARNING! THIS RELEASE IS LESS TESTED THAN SOME OTHERS, AND INCLUDES
LOTS OF NEW CODE, SO IT'S POSSIBLE THAT THINGS COULD BE VERY BROKEN. 
if you run into trouble, as with any release, just let us know about
the bug on the bboard, and use the previous one that worked for you
(i.e. go back to 54) it's all about 'alpha'.


[ big changes ]

perhaps very exciting, this is the first release to include explicit
support for audio, video, and network. perhaps more exciting is that
this code was developed by developers other than me. 

net and video code was contributed by hernando barragan of ivrea
http://people.interaction-ivrea.it/h.barragan
everyone say ""thanks hernando!""

the audio code is by carlos rocha, a hired gun whose 
employment was made possible by the generous support of ivrea. 
yay carlos! yay ivrea!

more about these guys can be seen at: http://proce55ing.net/info.html


[ status of audio, video, net ]

- audio should be java 1.1 compliant, meaning that it works inside
  applets and on each of the platforms. audio should be working
  reasonably well, and has been tested by carlos a good bit.

- similarly, the net code should be just ducky.

- video input and reading movie files is done through quicktime for
  java, which means that you have to 1) be using windows or macos, and
  2) have the durn thing installed. video is a little bumpy (you may
  find it broken or unusable), which we're ironing out. but the
  problems have been showing up inconsistently, so we preferred to get
  the release out so that y'all can start playing with the other new
  features.


[ new features! new bugs! ]

- sort functions for arrays of ints, floats, doubles or Strings

// here's how it works for floats:
float a[] = { 3.4, 3.6, 2, 0, 7.1 };
sort(a);
for (int i = 0; i < a.length; i++) {
  println(a[i]);
}

- added wheel mouse support for osx, when running java 1.4. 
  NOTE! we don't actually recommend using java 1.4 under macosx, as it
  seems to be much less stable than 1.3, and appears to introduce some
  weird inconsistencies when running p5. (this also fixes a bug where
  using a 1.3 vm with the windows expert version would fukker the
  environment).


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
